Intensity,Wavelength (Å),Spectrum,Reference
7000,2080.0,Al I,NIST
6500,2094.3,Al I,NIST
8000,2094.8,Al I,NIST
7500,2095.1,Al I,NIST
9000,2269.1,Al I,NIST
8500,2269.2,Al I,NIST
8000,2321.6,Al I,NIST
7500,2367.1,Al I,NIST
9000,2373.1,Al I,NIST
8500,2373.4,Al I,NIST
10000,2567.9,Al I,NIST
9500,2575.1,Al I,NIST
9000,2575.4,Al I,NIST
10000,2652.5,Al I,NIST
10000,2660.4,Al I,NIST
9500,3050.1,Al I,NIST
9000,3057.1,Al I,NIST
8500,3059.9,Al I,NIST
10000,3082.2,Al I,NIST
9500,3092.7,Al I,NIST
10000,3092.8,Al I,NIST
10000,3944.0,Al I,NIST
10000,3961.5,Al I,NIST
