Intensity,Wavelength (Å),Spectrum,Reference
8000,3006.9,Ca I,NIST
7500,3009.2,Ca I,NIST
9000,3158.9,Ca I,NIST
8500,3179.3,Ca I,NIST
9500,3181.3,Ca I,NIST
10000,3933.7,Ca II,NIST
10000,3968.5,Ca II,NIST
9000,4226.7,Ca I,NIST
8500,4283.0,Ca I,NIST
8000,4289.4,Ca I,NIST
7500,4298.9,Ca I,NIST
9000,4302.5,Ca I,NIST
8500,4307.7,Ca I,NIST
9500,4318.7,Ca I,NIST
8000,4355.1,Ca I,NIST
7500,4425.4,Ca I,NIST
9000,4434.9,Ca I,NIST
8500,4435.0,Ca I,NIST
8000,4435.7,Ca I,NIST
9500,4454.8,Ca I,NIST
9000,4455.9,Ca I,NIST
8500,4456.6,Ca I,NIST
10000,5588.8,Ca I,NIST
9500,5594.5,Ca I,NIST
10000,6102.7,Ca I,NIST
9500,6122.2,Ca I,NIST
10000,6162.2,Ca I,NIST
9000,6169.0,Ca I,NIST
10000,6439.1,Ca I,NIST
9500,6449.8,Ca I,NIST
10000,6462.6,Ca I,NIST
10000,6471.7,Ca I,NIST
10000,6493.8,Ca I,NIST
9500,6499.7,Ca I,NIST
