Intensity,Wavelength (Å),Spectrum,Reference
9000,2024.3,Cu I,NIST
2500,2135.9,Cu I,NIST
1600,2148.9,Cu I,NIST
2000,2165.1,Cu I,NIST
1500,2178.9,Cu I,NIST
2500,2181.7,Cu I,NIST
1800,2189.6,Cu I,NIST
3000,2199.6,Cu I,NIST
2000,2210.3,Cu I,NIST
3500,2214.6,Cu I,NIST
2500,2225.7,Cu I,NIST
4000,2227.8,Cu I,NIST
3000,2230.1,Cu I,NIST
2800,2242.6,Cu I,NIST
5000,2244.3,Cu I,NIST
1500,2263.1,Cu I,NIST
3500,2276.3,Cu I,NIST
2000,2293.8,Cu I,NIST
4000,2369.9,Cu I,NIST
3000,2392.6,Cu I,NIST
2500,2406.7,Cu I,NIST
3500,2441.6,Cu I,NIST
4500,2492.2,Cu I,NIST
5000,2526.6,Cu I,NIST
4000,2544.8,Cu I,NIST
3500,2618.4,Cu I,NIST
3000,2689.3,Cu I,NIST
3500,2700.9,Cu I,NIST
4000,2703.2,Cu I,NIST
4500,2713.5,Cu I,NIST
5000,2766.4,Cu I,NIST
5500,2824.4,Cu I,NIST
6000,2961.2,Cu I,NIST
10000,3247.5,Cu I,NIST
9500,3273.9,Cu I,NIST
3000,4022.6,Cu I,NIST
2500,4062.6,Cu I,NIST
3500,4275.1,Cu I,NIST
4000,4480.4,Cu I,NIST
4500,4509.4,Cu I,NIST
5000,4530.8,Cu I,NIST
5500,4586.9,Cu I,NIST
6000,4651.1,Cu I,NIST
8000,5105.5,Cu I,NIST
9000,5153.2,Cu I,NIST
10000,5218.2,Cu I,NIST
9000,5220.1,Cu I,NIST
8000,5292.5,Cu I,NIST
7500,5700.2,Cu I,NIST
7000,5782.1,Cu I,NIST
