Intensity,Wavelength (Å),Spectrum,Reference
5000,2382.0,Fe I,NIST
4500,2395.6,Fe I,NIST
5500,2399.2,Fe I,NIST
6000,2404.9,Fe I,NIST
5000,2413.3,Fe I,NIST
6500,2439.7,Fe I,NIST
7000,2442.6,Fe I,NIST
5500,2457.6,Fe I,NIST
6000,2462.6,Fe I,NIST
7500,2483.3,Fe I,NIST
8000,2488.1,Fe I,NIST
7000,2490.6,Fe I,NIST
6500,2501.1,Fe I,NIST
7500,2507.9,Fe I,NIST
8500,2510.8,Fe I,NIST
7000,2518.1,Fe I,NIST
8000,2522.8,Fe I,NIST
9000,2527.4,Fe I,NIST
8500,2535.6,Fe I,NIST
9500,2540.0,Fe I,NIST
8000,2545.9,Fe I,NIST
8500,2549.6,Fe I,NIST
9000,2576.7,Fe I,NIST
9500,2584.5,Fe I,NIST
10000,2599.4,Fe I,NIST
9000,2606.8,Fe I,NIST
8500,2618.0,Fe I,NIST
9500,2623.5,Fe I,NIST
10000,2635.8,Fe I,NIST
9000,2666.8,Fe I,NIST
9500,2679.1,Fe I,NIST
10000,2689.2,Fe I,NIST
9500,2699.1,Fe I,NIST
10000,2706.6,Fe I,NIST
9000,2714.4,Fe I,NIST
9500,2719.0,Fe I,NIST
10000,2735.5,Fe I,NIST
9500,2750.1,Fe I,NIST
10000,2788.1,Fe I,NIST
10000,2823.3,Fe I,NIST
9500,2851.8,Fe I,NIST
10000,2929.0,Fe I,NIST
9500,2936.9,Fe I,NIST
10000,2966.9,Fe I,NIST
9500,2983.6,Fe I,NIST
10000,2999.5,Fe I,NIST
10000,3020.6,Fe I,NIST
10000,3047.6,Fe I,NIST
10000,3440.6,Fe I,NIST
10000,3581.2,Fe I,NIST
9500,3719.9,Fe I,NIST
9000,3737.1,Fe I,NIST
8500,3745.6,Fe I,NIST
8000,3749.5,Fe I,NIST
7500,3758.2,Fe I,NIST
7000,3763.8,Fe I,NIST
8000,3820.4,Fe I,NIST
8500,3859.9,Fe I,NIST
