Intensity,Wavelength (Å),Spectrum,Reference
8000,2025.8,Mg I,NIST
7500,2779.8,Mg I,NIST
9000,2779.8,Mg II,NIST
8500,2790.8,Mg II,NIST
10000,2795.5,Mg II,NIST
10000,2802.7,Mg II,NIST
9500,2846.7,Mg I,NIST
9000,2852.1,Mg I,NIST
8500,3091.1,Mg I,NIST
8000,3092.0,Mg I,NIST
9000,3096.9,Mg I,NIST
8500,3329.9,Mg I,NIST
8000,3332.2,Mg I,NIST
9500,3336.7,Mg I,NIST
9000,3829.4,Mg I,NIST
8500,3832.3,Mg I,NIST
10000,3838.3,Mg I,NIST
9500,4571.1,Mg I,NIST
10000,5167.3,Mg I,NIST
10000,5172.7,Mg I,NIST
10000,5183.6,Mg I,NIST
9000,5528.4,Mg I,NIST
