Intensity,Wavelength (Å),Spectrum,Reference
8000,2680.3,Na I,NIST
7500,2680.4,Na I,NIST
8500,2852.8,Na I,NIST
9000,2853.0,Na I,NIST
7000,3302.3,Na I,NIST
7500,3302.9,Na I,NIST
8000,3303.0,Na I,NIST
9000,4494.2,Na I,NIST
8500,4497.7,Na I,NIST
9500,4664.8,Na I,NIST
9000,4668.6,Na I,NIST
10000,4978.5,Na I,NIST
9500,4982.8,Na I,NIST
10000,5148.8,Na I,NIST
9500,5153.4,Na I,NIST
10000,5682.6,Na I,NIST
9500,5688.2,Na I,NIST
10000,5889.9,Na I,NIST
10000,5895.9,Na I,NIST
9500,6154.2,Na I,NIST
9000,6160.8,Na I,NIST
8500,8183.3,Na I,NIST
8000,8194.8,Na I,NIST
