Intensity,Wavelength (Å),Spectrum,Reference
8000,2025.5,Zn I,NIST
7500,2062.0,Zn I,NIST
9000,2099.9,Zn I,NIST
8500,2138.6,Zn I,NIST
10000,2138.6,Zn II,NIST
9500,2144.4,Zn I,NIST
9000,2149.7,Zn I,NIST
8500,2500.0,Zn I,NIST
8000,2502.0,Zn I,NIST
9500,2558.0,Zn I,NIST
10000,2801.0,Zn I,NIST
9500,3035.8,Zn I,NIST
9000,3072.1,Zn I,NIST
10000,3075.9,Zn I,NIST
9500,3282.3,Zn I,NIST
10000,3302.6,Zn I,NIST
10000,3302.9,Zn I,NIST
10000,3345.0,Zn I,NIST
9500,3345.6,Zn I,NIST
10000,4680.1,Zn I,NIST
9500,4722.2,Zn I,NIST
10000,4810.5,Zn I,NIST
9000,4911.6,Zn I,NIST
9500,4924.0,Zn I,NIST
10000,6362.3,Zn I,NIST
