Intensity,Wavelength (Å),Spectrum,Reference
120,2750.1406,Fe I,NJLT94
70 P,2750.477,Yb II,M67
20,2750.72,Cr II,K51
11,2751.468,Mo I,WB88
40,2751.81,Hf II,MCS75
15,2751.85,Cr II,K51
100,2752.166,Th II,GSZ70
120,2752.202,Zr II,J98
50,2753.2877,Fe II,NLTH91
8,2753.8531,Pt I,SRSA92
40 P,2753.878,In I,P38
200 P,2754.17,Lu II,MCS75
250 P,2754.588,Ge I,AM59
30,2754.9122,Pt I,SRSA92
60,2755.63,Er II,M64b
500 P,2755.7365,Fe II,NLTH91
40 s,2756.55,Am II,FT57
8,2757.086,Cr I,K53
20,2757.72,Cr II,K51
400 P,2758.31,Ta I,MCS75
20,2758.61,Nb I,MCS75
90,2758.806,Zr II,J98
"1000 P,s",2759.1,Cf II,RCWM80
25,2761.42,Os I,MCS75
200,2761.63,Hf I,MCS75
200,2761.68,Ta II,MCS75
100,2761.81,Fe II,C74
250,2761.92,Po I,C66a
50,2762.34,W I,MCS75
40 P,2762.58,Cr II,K51
80,2762.921,Ne II,P71
400 P,2763.0899,Pd I,ELLW98
15,2763.62,Mo II,MCS75
2,2763.8,He I,M60a
25 P,2764.261,W II,EKM00
100 h,2765.74,Lu I,MCS75
100 l,2765.76,Es II,WLGC74
250,2766.37,Cu I,S48
40 P,2766.55,Cr II,K51
40,2766.989,Li II,HM59
"200 P,d",2767.87,Tl I,MCS75
500,2769.669,Cu II,R69
50,2769.74,W I,MCS75
20,2769.76,Mo II,MCS75
7,2769.8332,Pt I,SRSA92
12,2769.902,Cr I,K53
150 r,2769.931,Sb I,SM02
50,2770.016,Er II,M64b
30,2770.71,Os I,MCS75
20,2770.8538,Zn I,GL00
90,2770.88,W I,MCS75
8,2770.974,Zn I,GL00
100,2771.6594,Pt I,SRSA92
30,2772.074,Fe I,NJLT94
20,2773.2,Nb I,MCS75
120 P,2773.36,Hf II,MCS75
90,2774.0,W I,MCS75
90,2774.48,W I,MCS75
1000 P,2774.52,Cf II,RCWM80
2,2775.37,In I,P38
130 P,2775.402,Mo II,SPNL01
300,2775.88,Ta I,MCS75
9,2776.28,Yb II,M67
40,2776.6595,Pd II,LLJ94
6,2776.69,Mg I,KM91a
60,2778.2202,Fe I,NJLT94
5,2778.27,Mg I,KM91a
200,2779.37,Hf I,MCS75
15* P,2779.82,Mg I,KM91a
15* P,2779.834,Mg I,KM91a
300,2779.977,Ga II,IL85
70,2780.037,Mo II,SPNL01
"900 P,r",2780.22,As I,HA85
50,2780.476,Bi I,WBBF01
30,2780.695,Cr I,K53
9,2780.822,Au I,ED71
30,2781.29,Ir I,MCS75
5,2781.416,Mg I,KM91a
8,2781.89,Eu II,MCS75
100,2782.05,Tc I,BMC67
25,2782.55,Os I,MCS75
6,2782.972,Mg I,KM91a
10,2783.57,Re I,MCS75
6,2784.656,Yb II,M67
1000,2784.826,Cm II,WHGC76
30,2784.99,Mo II,MCS75
20,2786.31,Os I,MCS75
"300 P,l",2787.1,Es II,WLGC74
150,2787.69,Ta I,MCS75
300 P,2788.1047,Fe I,NJLT94
20,2790.313,Li II,HM59
13 P,2790.776,Mg II,KM91a
90,2792.019,Ne II,P71
90,2792.7,W I,MCS75
150,2793.934,U II,BW92b
80,2794.221,Ne II,P71
80,2794.6,Tm II,MCS75
250 P,2794.817,Mn I,CMG64
1000 P,2795.5301,Mg II,PTW98
130,2795.78,Tc II,BMC67
100 l,2796.11,Es II,WLGC74
250,2796.34,Ta I,MCS75
150,2796.63,Lu II,MCS75
20,2796.73,Os I,MCS75
110,2796.93,Gd II,MCS75
80,2797.27,Tm II,MCS75
30,2797.35,Ir I,MCS75
90,2797.7,Ir I,MCS75
300,2797.76,Ta II,MCS75
15,2797.998,Mg II,KM91a
6,2798.211,Yb II,M67
200 P,2798.27,Mn I,CMG64
50,2799.93,W I,MCS75
20 P,2800.8635,Zn I,GL00
6 P,2801.05,Zn I,GL00
140 P,2801.084,Mn I,CMG64
"300 P,r",2801.995,Pb I,WA68
600 P,2802.036,Au II,RW97
150,2802.07,Ta I,MCS75
